Event,Event Start Time,Event End Time
143.5,035 19:26:20.004100,035 19:26:20.054092
143,035 19:26:21.004121,035 19:26:21.054125
142.5,035 19:26:23.004217,035 19:26:23.054195
142,035 19:26:24.004657,035 19:26:24.054627
142.5,035 19:26:25.004649,035 19:26:25.054650
142,035 19:26:26.004770,035 19:26:26.054788
141.5,035 19:26:29.004805,035 19:26:29.054903
142,035 19:26:33.004998,035 19:26:33.055039
141.5,035 19:26:34.004962,035 19:26:34.054964
142,035 19:26:38.005093,035 19:26:38.055095
92,035 19:26:39.005130,035 19:26:39.055140
92.5,035 19:26:40.005269,035 19:26:40.055270
93,035 19:26:42.005227,035 19:26:42.055228
92,035 19:26:46.005353,035 19:26:46.055540
91.5,035 19:26:48.005429,035 19:26:48.055437
92,035 19:26:50.005591,035 19:26:50.055580
91,035 19:26:51.005535,035 19:26:51.055532
91.5,035 19:26:52.005556,035 19:26:52.055566
91,035 19:26:53.005626,035 19:26:53.055709
91.5,035 19:26:54.005733,035 19:26:54.055655
92,035 19:26:55.005660,035 19:26:55.055671
86,035 19:26:56.005698,035 19:26:56.055699
85,035 19:26:57.005791,035 19:26:57.055842
83,035 19:26:58.005760,035 19:26:58.055762
82,035 19:27:00.005927,035 19:27:00.055940
82.5,035 19:27:02.005909,035 19:27:02.055915
82,035 19:27:03.005938,035 19:27:03.055995
82.5,035 19:27:09.007030,035 19:27:09.057039
82,035 19:27:10.007053,035 19:27:10.057068
81.5,035 19:27:13.007158,035 19:27:13.057167
81,035 19:27:15.007289,035 19:27:15.057365
82,035 19:27:16.007294,035 19:27:16.057271
81.5,035 19:27:19.007381,035 19:27:19.057392
81,035 19:27:20.007438,035 19:27:20.057410
81.5,035 19:27:21.007501,035 19:27:21.057572
82,035 19:27:22.007477,035 19:27:22.057486
81,035 19:27:23.007535,035 19:27:23.057510
80.5,035 19:27:25.007595,035 19:27:25.057580
80,035 19:27:26.007630,035 19:27:26.057653
81,035 19:27:27.007639,035 19:27:27.057646
80.5,035 19:27:28.007694,035 19:27:28.057681
81.5,035 19:27:29.007734,035 19:27:29.057718
82,035 19:27:30.007777,035 19:27:30.057752
81,035 19:27:31.007811,035 19:27:31.057814
81.5,035 19:27:32.007846,035 19:27:32.057824
81,035 19:27:34.007886,035 19:27:34.057908
81.5,035 19:27:35.007938,035 19:27:35.057924
81,035 19:27:41.008146,035 19:27:41.058127
80.5,035 19:27:42.008151,035 19:27:42.058158
81,035 19:27:43.008213,035 19:27:43.058193
80.5,035 19:27:44.008321,035 19:27:44.058357
81,035 19:27:45.008284,035 19:27:45.058262
80.5,035 19:27:47.008321,035 19:27:47.058326
81,035 19:27:49.008387,035 19:27:49.058391
80.5,035 19:27:51.008459,035 19:27:51.058523
81,035 19:27:53.008521,035 19:27:53.058530
80.5,035 19:27:56.008620,035 19:27:56.058624
81,035 19:27:57.008650,035 19:27:57.058658
81.5,035 19:27:58.008706,035 19:27:58.058757
81,035 19:27:59.008833,035 19:27:59.058843
80.5,035 19:28:00.008773,035 19:28:00.058778
80,035 19:28:04.008906,035 19:28:04.058910
80.5,035 19:28:05.008934,035 19:28:05.058948
